contaminant,authorization,limit,amount_released,source,event_id,region
VOCs,Permit 6056,0.0,101.0 lbs (est.),"Source 6: DCU2 Flare , EPN number EDCU2",266550,region 12
Carbon Monoxide,Permit 8404,0.0,5001.0 lbs (est.),"Source 9: FCCU Flare , EPN number EFCCU3",266550,region 12
Hydrogen Sulfide,Permit 8404,0.0,101.0 lbs (est.),"Source 9: FCCU Flare , EPN number EFCCU3",266550,region 12
Nitrogen Oxides (NOx),Permit 8404,0.0,1001.0 lbs (est.),"Source 9: FCCU Flare , EPN number EFCCU3",266550,region 12
Sulfur dioxide,Permit 8404,0.0,501.0 lbs (est.),"Source 9: FCCU Flare , EPN number EFCCU3",266550,region 12
VOCs,Permit 8404,0.0,101.0 lbs (est.),"Source 9: FCCU Flare , EPN number EFCCU3",266550,region 12
Carbon Monoxide,Permit 6056,0.0,5001.0 lbs (est.),"Source 11: HCU2 Flare , EPN number EHCU2",266550,region 12
Hydrogen Sulfide,Permit 6056,0.0,101.0 lbs (est.),"Source 11: HCU2 Flare , EPN number EHCU2",266550,region 12
Nitrogen Oxides (NOx),Permit 6056,0.0,1001.0 lbs (est.),"Source 11: HCU2 Flare , EPN number EHCU2",266550,region 12
Sulfur dioxide,Permit 6056,0.0,501.0 lbs (est.),"Source 11: HCU2 Flare , EPN number EHCU2",266550,region 12
VOCs,Permit 6056,0.0,101.0 lbs (est.),"Source 11: HCU2 Flare , EPN number EHCU2",266550,region 12
Carbon Monoxide,Permit 8404,0.0,5001.0 lbs (est.),"Source 12: HTU4 Flare , EPN number EHTU4",266550,region 12
Hydrogen Sulfide,Permit 8404,0.0,101.0 lbs (est.),"Source 12: HTU4 Flare , EPN number EHTU4",266550,region 12
Nitrogen Oxides (NOx),Permit 8404,0.0,1001.0 lbs (est.),"Source 12: HTU4 Flare , EPN number EHTU4",266550,region 12
Sulfur dioxide,Permit 8404,0.0,501.0 lbs (est.),"Source 12: HTU4 Flare , EPN number EHTU4",266550,region 12
VOCs,Permit 8404,0.0,101.0 lbs (est.),"Source 12: HTU4 Flare , EPN number EHTU4",266550,region 12
Carbon Monoxide,Permit 8404,0.0,5001.0 lbs (est.),"Source 15: LHCU Flare , EPN number EHCU",266550,region 12
Hydrogen Sulfide,Permit 8404,0.0,101.0 lbs (est.),"Source 15: LHCU Flare , EPN number EHCU",266550,region 12
Nitrogen Oxides (NOx),Permit 8404,0.0,1001.0 lbs (est.),"Source 15: LHCU Flare , EPN number EHCU",266550,region 12
Sulfur dioxide,Permit 8404,0.0,501.0 lbs (est.),"Source 15: LHCU Flare , EPN number EHCU",266550,region 12
VOCs,Permit 8404,0.0,101.0 lbs (est.),"Source 15: LHCU Flare , EPN number EHCU",266550,region 12
Carbon Monoxide,Permit 6056,0.0,5001.0 lbs (est.),"Source 18: SBU2 Flare , EPN number ESBU2",266550,region 12
Hydrogen Sulfide,Permit 6056,0.0,101.0 lbs (est.),"Source 18: SBU2 Flare , EPN number ESBU2",266550,region 12
Nitrogen Oxides (NOx),Permit 6056,0.0,1001.0 lbs (est.),"Source 18: SBU2 Flare , EPN number ESBU2",266550,region 12
Sulfur dioxide,Permit 6056,0.0,501.0 lbs (est.),"Source 18: SBU2 Flare , EPN number ESBU2",266550,region 12
VOCs,Permit 6056,0.0,101.0 lbs (est.),"Source 18: SBU2 Flare , EPN number ESBU2",266550,region 12
Carbon Monoxide,Permit 8404,0.0,5001.0 lbs (est.),"Source 20: VPS4 Flare , EPN number EVPS4",266550,region 12
Hydrogen Sulfide,Permit 8404,0.0,101.0 lbs (est.),"Source 20: VPS4 Flare , EPN number EVPS4",266550,region 12
Nitrogen Oxides (NOx),Permit 8404,0.0,1001.0 lbs (est.),"Source 20: VPS4 Flare , EPN number EVPS4",266550,region 12
Sulfur dioxide,Permit 8404,0.0,501.0 lbs (est.),"Source 20: VPS4 Flare , EPN number EVPS4",266550,region 12
VOCs,Permit 8404,0.0,101.0 lbs (est.),"Source 20: VPS4 Flare , EPN number EVPS4",266550,region 12
Carbon Monoxide,Permit 6056,0.0,5001.0 lbs (est.),"Source 21: VPS5 Flare , EPN number EVPS5",266550,region 12
Hydrogen Sulfide,Permit 6056,0.0,101.0 lbs (est.),"Source 21: VPS5 Flare , EPN number EVPS5",266550,region 12
Nitrogen Oxides (NOx),Permit 6056,0.0,1001.0 lbs (est.),"Source 21: VPS5 Flare , EPN number EVPS5",266550,region 12
Sulfur dioxide,Permit 6056,0.0,501.0 lbs (est.),"Source 21: VPS5 Flare , EPN number EVPS5",266550,region 12
VOCs,Permit 6056,0.0,101.0 lbs (est.),"Source 21: VPS5 Flare , EPN number EVPS5",266550,region 12
Methyl tert-butyl ether,NSR 20160,0.04 LBS/HR,1000.0 lbs (est.),"Source 3: PO Fugitives , EPN number POFUG",266763,region 12
CO,NSR Permit 46396,39.53 LBS/HR,22.72 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 12
Hydrogen Sulfide,NSR Permit 46396,0.03 LBS/HR,1.3 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 12
NOX,NSR Permit 46396,6.4 LBS/HR,4.4 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 12
Other material,NSR Permit 46396 (as PM2.5),2.5 LBS/HR,0.97 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 12
PM10,NSR Permit 46396,2.5 LBS/HR,0.97 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 12
Particulate Matter,NSR Permit 46396,2.5 LBS/HR,0.97 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 12
Sulfur dioxide,NSR Permit 46396,55.31 LBS/HR,2506.67 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 12
VOC,NSR Permit 46396,0.43 LBS/HR,0.5 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 12
Benzene,No specific Authorization,0.0,11.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 12
Indane,No specific Authorization,0.0,22.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 12
Indene,No specific Authorization,0.0,11.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 12
Naphthalene,No specific Authorization,0.0,126.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 12
Toluene,No specific Authorization,0.0,7.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 12
VOC,No specific Authorization,0.0,69.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 12
Xylene,No specific Authorization,0.0,7.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 12
"1,3-BUTADIENE",No specific Authorization,0.0,13000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Acetylene,No specific Authorization,0.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Benzene,No specific Authorization,0.0,12000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Butanes,No specific Authorization,0.0,7000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
"Butenes, All Isomers",No specific Authorization,0.0,7500.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Carbon Monoxide,No specific Authorization,0.0,240000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Ethylbenzene,No specific Authorization,0.0,1500.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Ethylene (gaseous),No specific Authorization,0.0,120000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Isobutylene,No specific Authorization,0.0,2000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Isoprene,No specific Authorization,0.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Nitrogen dioxide,No specific Authorization,0.0,1200.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Nitrogen oxide,No specific Authorization,0.0,23000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Pentadiene,No specific Authorization,0.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Pentanes,No specific Authorization,0.0,17000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Propadiene,No specific Authorization,0.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Propane,No specific Authorization,0.0,40000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Propylene,No specific Authorization,0.0,40000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Styrene,No specific Authorization,0.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Toluene,No specific Authorization,0.0,3000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Xylenes,No specific Authorization,0.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Carbon Monoxide,NSR Permit 46396,226.9 LBS/HR,200.0 lbs (est.),"Source 1: East Flare , EPN number FLARECAP",266549,region 12
Hydrogen Sulfide,NSR Permit 46396,0.13 LBS/HR,1.0 lbs (est.),"Source 1: East Flare , EPN number FLARECAP",266549,region 12
Nitrogen oxide,NSR Permit 46396,33.0 LBS/HR,68.0 lbs (est.),"Source 1: East Flare , EPN number FLARECAP",266549,region 12
Sulfur dioxide,NSR Permit 46396,10.67 LBS/HR,22000.0 lbs (est.),"Source 1: East Flare , EPN number FLARECAP",266549,region 12
VOC,NSR Permit 46396,529.58 LBS/HR,600.0 lbs (est.),"Source 1: East Flare , EPN number FLARECAP",266549,region 12
Carbon Monoxide,NSR Permit 46396,226.9 LBS/HR,200.0 lbs (est.),"Source 3: North Flare , EPN number FLARECAP",266549,region 12
Hydrogen Sulfide,NSR Permit 46396,0.13 LBS/HR,1.0 lbs (est.),"Source 3: North Flare , EPN number FLARECAP",266549,region 12
Nitrogen oxide,NSR Permit 46396,33.0 LBS/HR,66.0 lbs (est.),"Source 3: North Flare , EPN number FLARECAP",266549,region 12
Sulfur dioxide,NSR Permit 46396,10.67 LBS/HR,15000.0 lbs (est.),"Source 3: North Flare , EPN number FLARECAP",266549,region 12
VOC,NSR Permit 46396,529.58 LBS/HR,600.0 lbs (est.),"Source 3: North Flare , EPN number FLARECAP",266549,region 12
Carbon Monoxide,NSR Permit 46396,40.37 LBS/HR,121.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 12
Hydrogen Sulfide,NSR Permit 46396,1.06 LBS/HR,28.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 12
Nitrogen oxide,NSR Permit 46396,4.5 LBS/HR,10.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 12
PM10,NSR Permit 46396,1.08 LBS/HR,2.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 12
Particulate Matter,NSR Permit 46396,1.08 LBS/HR,2.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 12
Sulfur dioxide,NSR Permit 46396,37.8 LBS/HR,5000.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 12
VOC,NSR Permit 46396,2.0 LBS/HR,5.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 12
Carbon Monoxide,NSR Permit 46396,39.53 LBS/HR,121.0 lbs (est.),"Source 7: SRU No. 4 Incinerator , EPN number 25SRUINCIN",266549,region 12
Hydrogen Sulfide,NSR Permit 46396,0.03 LBS/HR,28.0 lbs (est.),"Source 7: SRU No. 4 Incinerator , EPN number 25SRUINCIN",266549,region 12
Nitrogen oxide,NSR Permit 46396,6.4 LBS/HR,10.0 lbs (est.),"Source 7: SRU No. 4 Incinerator , EPN number 25SRUINCIN",266549,region 12
Other material,NSR Permit 46396 PM 2.5,2.5 LBS/HR,2.0 lbs (est.),"Source 7: SRU No. 4 Incinerator , EPN number 25SRUINCIN",266549,region 12
PM10,NSR Permit 46396,2.5 LBS/HR,2.0 lbs (est.),"Source 7: SRU No. 4 Incinerator , EPN number 25SRUINCIN",266549,region 12
Particulate Matter,NSR Permit 46396,2.5 LBS/HR,2.0 lbs (est.),"Source 7: SRU No. 4 Incinerator , EPN number 25SRUINCIN",266549,region 12
Sulfur dioxide,NSR Permit 46396,55.31 LBS/HR,5000.0 lbs (est.),"Source 7: SRU No. 4 Incinerator , EPN number 25SRUINCIN",266549,region 12
VOC,NSR Permit 46396,0.43 LBS/HR,2.0 lbs (est.),"Source 7: SRU No. 4 Incinerator , EPN number 25SRUINCIN",266549,region 12
Carbon Monoxide,NSR Permit 46396,39.53 LBS/HR,121.0 lbs (est.),"Source 8: SRU No. 5 Incinerator , EPN number 36SRUINCIN",266549,region 12
Hydrogen Sulfide,NSR Permit 46396,0.03 LBS/HR,28.0 lbs (est.),"Source 8: SRU No. 5 Incinerator , EPN number 36SRUINCIN",266549,region 12
Nitrogen oxide,NSR Permit 46396,6.4 LBS/HR,10.0 lbs (est.),"Source 8: SRU No. 5 Incinerator , EPN number 36SRUINCIN",266549,region 12
Other material,NSR Permit 46396 PM 2.5,2.5 LBS/HR,2.0 lbs (est.),"Source 8: SRU No. 5 Incinerator , EPN number 36SRUINCIN",266549,region 12
PM10,NSR Permit 46396,2.5 LBS/HR,2.0 lbs (est.),"Source 8: SRU No. 5 Incinerator , EPN number 36SRUINCIN",266549,region 12
Particulate Matter,NSR Permit 46396,2.5 LBS/HR,2.0 lbs (est.),"Source 8: SRU No. 5 Incinerator , EPN number 36SRUINCIN",266549,region 12
Sulfur dioxide,NSR Permit 46396,55.31 LBS/HR,5000.0 lbs (est.),"Source 8: SRU No. 5 Incinerator , EPN number 36SRUINCIN",266549,region 12
VOC,NSR Permit 46396,0.43 LBS/HR,5.0 lbs (est.),"Source 8: SRU No. 5 Incinerator , EPN number 36SRUINCIN",266549,region 12
Carbon Monoxide,NSR Permit 46396,226.9 LBS/HR,200.0 lbs (est.),"Source 9: South Flare , EPN number FLARECAP",266549,region 12
Hydrogen Sulfide,NSR Permit 46396,0.13 LBS/HR,1.0 lbs (est.),"Source 9: South Flare , EPN number FLARECAP",266549,region 12
Nitrogen oxide,NSR Permit 46396,33.0 LBS/HR,68.0 lbs (est.),"Source 9: South Flare , EPN number FLARECAP",266549,region 12
Sulfur dioxide,NSR Permit 46396,10.67 LBS/HR,15000.0 lbs (est.),"Source 9: South Flare , EPN number FLARECAP",266549,region 12
VOC,NSR Permit 46396,529.58 LBS/HR,600.0 lbs (est.),"Source 9: South Flare , EPN number FLARECAP",266549,region 12
Carbon Monoxide,Permit 49138,3919.77 lbs,10525.75 lbs (est.),"Source 1: 10 Flare , EPN number 60FLR_010",266516,region 12
Hydrogen Sulfide,Permit 49138,157.03 lbs,3.18 lbs (est.),"Source 1: 10 Flare , EPN number 60FLR_010",266516,region 12
Nitrogen Oxides (NOx),Permit 49138,1028.46 lbs,1473.0 lbs (est.),"Source 1: 10 Flare , EPN number 60FLR_010",266516,region 12
Sulfur dioxide,Permit 49138,15649.92 lbs,292.93 lbs (est.),"Source 1: 10 Flare , EPN number 60FLR_010",266516,region 12
VOC (unspeciated),Permit 49138,5156.31 lbs,1446.54 lbs (est.),"Source 1: 10 Flare , EPN number 60FLR_010",266516,region 12
Carbon Monoxide,Permit 49138,3919.77 lbs,12210.8 lbs (est.),"Source 3: 6 Flare , EPN number 60FLR_006",266516,region 12
Hydrogen Sulfide,Permit 49138,157.03 lbs,14.69 lbs (est.),"Source 3: 6 Flare , EPN number 60FLR_006",266516,region 12
Nitrogen Oxides (NOx),Permit 49138,1028.46 lbs,1706.3 lbs (est.),"Source 3: 6 Flare , EPN number 60FLR_006",266516,region 12
Sulfur dioxide,Permit 49138,15649.92 lbs,1351.97 lbs (est.),"Source 3: 6 Flare , EPN number 60FLR_006",266516,region 12
VOC (unspeciated),Permit 49138,5156.31 lbs,3343.34 lbs (est.),"Source 3: 6 Flare , EPN number 60FLR_006",266516,region 12
Carbon Monoxide,Permit 49138,3919.77 lbs,10588.3 lbs (est.),"Source 6: CHD 1 Flare , EPN number 60FLR_001",266516,region 12
Hydrogen Sulfide,Permit 49138,157.03 lbs,55.77 lbs (est.),"Source 6: CHD 1 Flare , EPN number 60FLR_001",266516,region 12
Nitrogen Oxides (NOx),Permit 49138,1028.46 lbs,1514.36 lbs (est.),"Source 6: CHD 1 Flare , EPN number 60FLR_001",266516,region 12
Sulfur dioxide,Permit 49138,15649.92 lbs,742.71 lbs (est.),"Source 6: CHD 1 Flare , EPN number 60FLR_001",266516,region 12
VOC (unspeciated),Permit 49138,5156.31 lbs,2435.67 lbs (est.),"Source 6: CHD 1 Flare , EPN number 60FLR_001",266516,region 12
Carbon Monoxide,Permit 49138,3919.77 lbs,16244.8 lbs (est.),"Source 8: FCC Flare , EPN number 60FLR_008",266516,region 12
Hydrogen Sulfide,Permit 49138,157.03 lbs,272.92 lbs (est.),"Source 8: FCC Flare , EPN number 60FLR_008",266516,region 12
Nitrogen Oxides (NOx),Permit 49138,1028.46 lbs,2287.67 lbs (est.),"Source 8: FCC Flare , EPN number 60FLR_008",266516,region 12
Sulfur dioxide,Permit 49138,15649.92 lbs,2364.99 lbs (est.),"Source 8: FCC Flare , EPN number 60FLR_008",266516,region 12
VOC (unspeciated),Permit 49138,5156.31 lbs,4936.01 lbs (est.),"Source 8: FCC Flare , EPN number 60FLR_008",266516,region 12
Carbon Monoxide,Permit 49138,3919.77 lbs,9714.92 lbs (est.),"Source 10: HP Flare , EPN number 60FLR_003",266516,region 12
Hydrogen Sulfide,Permit 49138,157.03 lbs,484.17 lbs (est.),"Source 10: HP Flare , EPN number 60FLR_003",266516,region 12
Nitrogen Oxides (NOx),Permit 49138,1028.46 lbs,1497.4 lbs (est.),"Source 10: HP Flare , EPN number 60FLR_003",266516,region 12
Sulfur dioxide,Permit 49138,15649.92 lbs,1.0 lbs (est.),"Source 10: HP Flare , EPN number 60FLR_003",266516,region 12
VOC (unspeciated),Permit 49138,5156.31 lbs,5459.75 lbs (est.),"Source 10: HP Flare , EPN number 60FLR_003",266516,region 12
Carbon Monoxide,Permit 49138,3919.77 lbs,10498.47 lbs (est.),"Source 12: LP Flare , EPN number 60FLR_005",266516,region 12
Hydrogen Sulfide,Permit 49138,157.03 lbs,76.33 lbs (est.),"Source 12: LP Flare , EPN number 60FLR_005",266516,region 12
Nitrogen Oxides (NOx),Permit 49138,1028.46 lbs,1493.19 lbs (est.),"Source 12: LP Flare , EPN number 60FLR_005",266516,region 12
Sulfur dioxide,Permit 49138,15649.92 lbs,2057.91 lbs (est.),"Source 12: LP Flare , EPN number 60FLR_005",266516,region 12
VOC (unspeciated),Permit 49138,5156.31 lbs,2283.73 lbs (est.),"Source 12: LP Flare , EPN number 60FLR_005",266516,region 12
CO,NSR Permit 46396,226.9 LBS/HR,27.93 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",266048,region 12
Hydrogen Sulfide,NSR Permit 46396,0.13 LBS/HR,0.03 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",266048,region 12
NOX,NSR Permit 46396,33.0 LBS/HR,5.48 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",266048,region 12
Sulfur dioxide,NSR Permit 46396,10.67 LBS/HR,490.95 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",266048,region 12
VOC,NSR Permit 46396,529.58 LBS/HR,19.44 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",266048,region 12
CO,NSR Permit 46396,226.9 LBS/HR,16.95 lbs (est.),"Source 3: South Flare , EPN number FLARECAP",266048,region 12
Hydrogen Sulfide,NSR Permit 46396,0.13 LBS/HR,0.01 lbs (est.),"Source 3: South Flare , EPN number FLARECAP",266048,region 12
NOX,NSR Permit 46396,33.0 LBS/HR,3.32 lbs (est.),"Source 3: South Flare , EPN number FLARECAP",266048,region 12
Sulfur dioxide,NSR Permit 46396,10.67 LBS/HR,617.32 lbs (est.),"Source 3: South Flare , EPN number FLARECAP",266048,region 12
VOC,NSR Permit 46396,529.58 LBS/HR,10.56 lbs (est.),"Source 3: South Flare , EPN number FLARECAP",266048,region 12
VOC MIXTURE,20057,0.04 LBS/HR,100.0 lbs (est.),"Source 1: Waste Water Tank Farm , EPN number S582F-3",266429,region 12
"1,3-BUTADIENE",NSR Permit 20485 and Title V Permit O1327,100.16 LBS/HR,111.0 lbs (est.),"Source 1: North/South Flare , EPN number UWN6R1 & UWS6R1",266466,region 12
Carbon Monoxide,NSR Permit 20485 and Title V Permit O1327,120.9 LBS/HR,1120.0 lbs (est.),"Source 1: North/South Flare , EPN number UWN6R1 & UWS6R1",266466,region 12
NOX,NSR Permit 20485 and Title V Permit O1327,23.47 LBS/HR,1024.0 lbs (est.),"Source 1: North/South Flare , EPN number UWN6R1 & UWS6R1",266466,region 12
Opacity,NSR Permit 20485 and Title V Permit O1327,0.0,40.0 % op (est.),"Source 1: North/South Flare , EPN number UWN6R1 & UWS6R1",266466,region 12
VOCs,NSR Permit 20485 and Title V Permit O1327,253.97 LBS/HR,1254.0 lbs (est.),"Source 1: North/South Flare , EPN number UWN6R1 & UWS6R1",266466,region 12
Ammonia,1302 & PSD-TX-1085,0.0,109.8 lbs (est.),"Source 2: Ammonia Flare , EPN number PH70",266565,region 12
Carbon Monoxide,1302 & PSD-TX-1085,0.0,139.6 lbs (est.),"Source 2: Ammonia Flare , EPN number PH70",266565,region 12
